episode,true_label,predicted_label,confidence,moves,pixels_seen
0,4,4,0.5470080375671387,8,9
1,1,3,0.11635881662368774,500,4
2,5,7,0.21829256415367126,500,8
3,4,4,0.27399879693984985,500,22
4,4,3,0.11635881662368774,500,24
5,1,8,0.572260320186615,6,7
6,4,3,0.11635881662368774,500,2
7,1,1,0.6156379580497742,8,9
8,2,3,0.11635881662368774,500,18
9,0,4,0.45363664627075195,500,14
10,2,1,0.13145503401756287,500,21
11,0,0,0.2772828936576843,500,20
12,6,1,0.2553028166294098,500,16
13,6,3,0.11635881662368774,500,19
14,1,5,0.16355864703655243,500,18
15,4,4,0.5373263955116272,10,11
16,3,3,0.11635881662368774,500,8
17,8,3,0.11635881662368774,500,10
18,1,3,0.11635881662368774,500,1
19,5,3,0.11635881662368774,500,24
20,5,5,0.19867165386676788,500,12
21,9,3,0.11635881662368774,500,3
22,5,3,0.11635881662368774,500,5
23,1,3,0.11635881662368774,500,7
24,2,4,0.2588481605052948,500,18
25,1,3,0.11635881662368774,500,10
26,5,3,0.11635881662368774,500,25
27,0,3,0.11635881662368774,500,10
28,9,3,0.11635881662368774,500,7
29,2,1,0.21199819445610046,500,15
30,9,3,0.11635881662368774,500,1
31,3,5,0.35196757316589355,500,22
32,0,4,0.38145866990089417,500,11
33,4,3,0.11635881662368774,500,5
34,8,3,0.11635881662368774,500,16
35,5,3,0.11635881662368774,500,13
36,2,1,0.262154221534729,500,9
37,8,3,0.11635881662368774,500,21
38,3,1,0.5995153784751892,17,18
39,4,3,0.11635881662368774,500,22
40,2,0,0.14343871176242828,500,18
41,7,3,0.11635881662368774,500,4
42,1,3,0.11635881662368774,500,6
43,8,3,0.11635881662368774,500,19
44,2,3,0.11635881662368774,500,17
45,1,3,0.2165464162826538,500,11
46,1,3,0.11635881662368774,500,8
47,0,3,0.11635881662368774,500,1
48,2,3,0.11635881662368774,500,12
49,0,3,0.11635881662368774,500,24
50,1,3,0.11635881662368774,500,3
51,2,3,0.11635881662368774,500,28
52,0,3,0.11635881662368774,500,15
53,3,4,0.5045095682144165,9,10
54,6,7,0.23103003203868866,500,15
55,5,3,0.11635881662368774,500,5
56,2,4,0.2794885039329529,500,12
57,2,3,0.11635881662368774,500,3
58,1,3,0.11635881662368774,500,1
59,7,3,0.11635881662368774,500,7
60,0,4,0.500397801399231,4,5
61,7,3,0.18171954154968262,500,9
62,9,3,0.11635881662368774,500,25
63,6,3,0.11635881662368774,500,3
64,9,5,0.11337687075138092,500,9
65,7,3,0.11635881662368774,500,9
66,3,4,0.2502804696559906,500,25
67,3,3,0.25289949774742126,500,13
68,9,3,0.11635881662368774,500,5
69,5,3,0.11635881662368774,500,12
70,9,4,0.1874321699142456,500,26
71,6,6,0.18711483478546143,500,25
72,4,1,0.5646949410438538,6,7
73,9,3,0.11635881662368774,500,17
74,5,7,0.2594907581806183,500,22
75,2,3,0.11635881662368774,500,9
76,2,3,0.11635881662368774,500,28
77,1,3,0.11635881662368774,500,7
78,4,3,0.11635881662368774,500,14
79,6,1,0.6259430050849915,13,14
80,2,4,0.28519684076309204,500,19
81,4,5,0.19324299693107605,500,16
82,5,3,0.11635881662368774,500,16
83,5,8,0.5017316341400146,4,5
84,7,3,0.11635881662368774,500,25
85,8,3,0.11635881662368774,500,16
86,0,3,0.11635881662368774,500,13
87,7,3,0.11635881662368774,500,23
88,5,3,0.11635881662368774,500,12
89,3,4,0.22455327212810516,500,9
90,2,8,0.13960418105125427,500,23
91,7,4,0.2703675627708435,500,16
92,4,2,0.1607537418603897,500,28
93,6,7,0.12787319719791412,500,24
94,3,4,0.21216584742069244,500,15
95,1,3,0.11635881662368774,500,4
96,1,3,0.11635881662368774,500,10
97,4,3,0.11635881662368774,500,24
98,2,2,0.2813490927219391,500,27
99,9,3,0.11635881662368774,500,4
